Identificativo univoco del prodotto (della versione master);ID prodotto;Handle (della versione master);Status di validazione;Titolo;Anno di pubblicazione;Data di creazione;Data Ahead of Print;Tipologia (definita da IRIS);Tipologia (collezione);Sottotipologia;Status di pubblicazione;Presenza coautori internazionali;Tutti gli autori/Curatori;Nr autori/Curatori (numero);contributors: autori/curatori di journal/serie di fascia A;Rilevanza nazionale/internazionale;Tipo di referaggio;Carattere della pubblicazione;SSD del prodotto;Lingua (codice);Rivista/Serie: ISSN;URL;DOI;Formato;codice: ISBN;Abstract;Parole chiave;brevetto: Data di deposito;Centro di ricerca;autore: ID persona (IRIS);Parole chiave - ERC (concatenazione) - autore;scopus: Nr citazioni;wos: Identificativo;scopus: Identificativo;wos: Nr citazioni;wos: affiliations;u-gov: Classificazione ausiliaria 1;wos: Valore Impact factor;Presenza Impact Factor (indicato nei metadati- manuale);wos: Valore Impact factor (riferito all'ultimo anno disponibile)
16409;16409;2318/28748;Validazione non prevista (pubblicato);Conformance and Interoperability in Open Environments;2006;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;no;"M. BALDONI; C. BAROGLIO; A. MARTELLI; V. PATTI";4;;Internazionale;Comitato scientifico;;;eng;1613-0073;http://ftp.informatik.rwth-aachen.de/Publications/CEUR-WS/Vol-204/P11.pdf;;;issn 16130073;An important issue, in open environments like the web, is guaranteeing the interoperability of a set of services.When the interaction scheme that the services should follow is given (e.g. as a choreography or as an interaction protocol), it becomes possible to verify, before the interaction takes place, if the interactive behavior of a service (e.g. a BPEL process specification) respects it. This verification is known as ``conformance test". Recently some attempts have been done for defining conformance tests w.r.t. a protocol but these approaches fail in capturing the very nature of interoperability, turning out to be too restrictive. In this work we give a representation of protocol, based on message exchange and on finite state automata, and we focus on those properties that are essential to the verification the interoperability of a set of services. In particular, we define a conformance test that can guarantee, a priori, the interoperability of a set of services by verifying properties of the single service against the protocol. This is particularly relevant in open environments, where services are identified and composed on demand and dynamically, and the system as a whole cannot be analyzed.;;;;27616;;0;WOS:000244496000028;2-s2.0-84868635139;20;;4 - Workshop;;no;
16411;16411;2318/28750;Validazione non prevista (pubblicato);Strong connectivity hypothesis and generative power in TAG;2005;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"A. MAZZEI; V. LOMBARDO; P. STURT";3;;Internazionale;;;;eng;;http://cslipublications.stanford.edu/FG/2005/;;;;Dynamic grammars are relevant for psycholinguistic modelling and speech processing. However, formal treatments of dynamic grammars are rare, and there are few studies that examine the relationship between dynamic and phrase structure grammars. This paper introduces a TAG related dynamic grammar (DVTAG) together with a study of its expressive power. We also shed a new perspective on the wrapping operation in TAG.;;;;10074;;;;;;;;;;
16411;16411;2318/28750;Validazione non prevista (pubblicato);Strong connectivity hypothesis and generative power in TAG;2005;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"A. MAZZEI; V. LOMBARDO; P. STURT";3;;Internazionale;;;;eng;;http://cslipublications.stanford.edu/FG/2005/;;;;Dynamic grammars are relevant for psycholinguistic modelling and speech processing. However, formal treatments of dynamic grammars are rare, and there are few studies that examine the relationship between dynamic and phrase structure grammars. This paper introduces a TAG related dynamic grammar (DVTAG) together with a study of its expressive power. We also shed a new perspective on the wrapping operation in TAG.;;;;17109;;;;;;;;;;
16412;16412;2318/28751;Validazione non prevista (pubblicato);Fingering for Music Performance;2005;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"Radicioni, DANIELE PAOLO; Lombardo, Vincenzo";2;;Internazionale;;;;eng;;;;;9780971319233;;;;;10750;;20;;2-s2.0-84923870429;;;;;no;
16412;16412;2318/28751;Validazione non prevista (pubblicato);Fingering for Music Performance;2005;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"Radicioni, DANIELE PAOLO; Lombardo, Vincenzo";2;;Internazionale;;;;eng;;;;;9780971319233;;;;;17109;;20;;2-s2.0-84923870429;;;;;no;
16413;16413;2318/28752;Validazione non prevista (pubblicato);Varèse's Poème Electronique regained: evidence from the VEP project;2005;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"R. Dobson; J. Fitch; K. Tazelaar; A. Valle; V. Lombardo";5;;Internazionale;;;;eng;;http://mtg.upf.edu/icmc2005/;;;;"The Poème Électronique in the Philips Pavilion at theWorld
Fair of Brussels 1958 was a unique experience, the very
first multimedia project to involve a sense of the total experience
of vision and sound. Realized by three relevant
personalities of contemporary culture, Le Corbusier (conception,
coordination and visual show), Varèse (organized
spatial sound delivered over 400 loudspeakers), Xenakis
(architecture of the pavilion), the Poème  Électronique has
never been repeated after the Philips Pavilion has been
pulled down after the Expo. The Virtual Electronic Poem
(VEP) project is reconstructing the lost artwork with virtual
reality techniques. In this paper we consider the technical
aspects of the reconstruction of the audio part of the
Poème by describing the investigations made on the piece
and by connecting the Poème to the whole Varèsian production.";;;;17109;;5;;2-s2.0-84923923592;;;;;no;
16414;16414;2318/28753;Validazione non prevista (pubblicato);Dramatization Meets Narrative Presentations;2006;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;no;"R. DAMIANO; V. LOMBARDO; A. PIZZO; F. NUNNARI";4;;Internazionale;Esperti anonimi;;;eng;0922-6389;http://ebooks.iospress.nl/publication/2644;;;9781586036423;"In recent times, information presentation has evolved towards sophisticated approaches that involve multi-modal aspects and character-based mediation. This paper presents a novel methodology for creating information presentations based on a dramatization of the content exposition in two respects. On one side, the author plots a character's monologue that aims at achieving presentation goal and exhibits an engaging inner conflict; on the other side, the system architecture dynamically assembles the elementary units of the plot scripted by the author by implementing a tension between contrasting communicative functions. The methodology has been applied in the implementation of a virtual guide to an historical site.";;;;15319;;5;WOS:000273875100005;2-s2.0-54949083118;1;"University of Turin; University of Turin; CIRMA; University of Turin";1 - Conferenza;;;
16414;16414;2318/28753;Validazione non prevista (pubblicato);Dramatization Meets Narrative Presentations;2006;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;no;"R. DAMIANO; V. LOMBARDO; A. PIZZO; F. NUNNARI";4;;Internazionale;Esperti anonimi;;;eng;0922-6389;http://ebooks.iospress.nl/publication/2644;;;9781586036423;"In recent times, information presentation has evolved towards sophisticated approaches that involve multi-modal aspects and character-based mediation. This paper presents a novel methodology for creating information presentations based on a dramatization of the content exposition in two respects. On one side, the author plots a character's monologue that aims at achieving presentation goal and exhibits an engaging inner conflict; on the other side, the system architecture dynamically assembles the elementary units of the plot scripted by the author by implementing a tension between contrasting communicative functions. The methodology has been applied in the implementation of a virtual guide to an historical site.";;;;17109;;5;WOS:000273875100005;2-s2.0-54949083118;1;"University of Turin; University of Turin; CIRMA; University of Turin";1 - Conferenza;;;
16415;16415;2318/28759;Validazione non prevista (pubblicato);Virtual tours across different media in DramaTour project;2006;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"R. DAMIANO; C. GALIA; V. LOMBARDO";3;;Internazionale;;;;eng;;http://www.iabeni.enea.it/ecai2006/ecai2006.htm;;;;;;;;15319;;;;;;;;;no;
16415;16415;2318/28759;Validazione non prevista (pubblicato);Virtual tours across different media in DramaTour project;2006;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"R. DAMIANO; C. GALIA; V. LOMBARDO";3;;Internazionale;;;;eng;;http://www.iabeni.enea.it/ecai2006/ecai2006.htm;;;;;;;;17109;;;;;;;;;no;
16416;16416;2318/28760;Validazione non prevista (pubblicato);A decision-theoretic replanning algorithm;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"G. BOELLA; R. DAMIANO";2;;Nazionale;;;;eng;;;;;;;;;;15319;;;;;;;;;no;
16416;16416;2318/28760;Validazione non prevista (pubblicato);A decision-theoretic replanning algorithm;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"G. BOELLA; R. DAMIANO";2;;Nazionale;;;;eng;;;;;;;;;;17629;;;;;;;;;no;
16417;16417;2318/28761;Validazione non prevista (pubblicato);A segmentation-based prototype to compute string instruments fingering;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"D. RADICIONI; L. ANSELMA; V. LOMBARDO";3;;Internazionale;;;;eng;;;;;9783200001138;;;;;10047;"PE6_7 - Artificial intelligence, intelligent systems, natural language processing (erc_2022) ; PE6_10 - Web and information systems, data management systems, information retrieval and digital libraries, data fusion (erc_2022)";;;;;;;;no;
16417;16417;2318/28761;Validazione non prevista (pubblicato);A segmentation-based prototype to compute string instruments fingering;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"D. RADICIONI; L. ANSELMA; V. LOMBARDO";3;;Internazionale;;;;eng;;;;;9783200001138;;;;;10750;;;;;;;;;no;
16417;16417;2318/28761;Validazione non prevista (pubblicato);A segmentation-based prototype to compute string instruments fingering;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"D. RADICIONI; L. ANSELMA; V. LOMBARDO";3;;Internazionale;;;;eng;;;;;9783200001138;;;;;17109;;;;;;;;;no;
16418;16418;2318/28762;Validazione non prevista (pubblicato);An algorithm to compute fingering for string instruments;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"D. RADICIONI; L. ANSELMA; V. LOMBARDO";3;;Nazionale;;;;eng;;;;;;;;;;10047;"PE6_7 - Artificial intelligence, intelligent systems, natural language processing (erc_2022) ; PE6_10 - Web and information systems, data management systems, information retrieval and digital libraries, data fusion (erc_2022)";;;;;;;;no;
16418;16418;2318/28762;Validazione non prevista (pubblicato);An algorithm to compute fingering for string instruments;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"D. RADICIONI; L. ANSELMA; V. LOMBARDO";3;;Nazionale;;;;eng;;;;;;;;;;10750;;;;;;;;;no;
16418;16418;2318/28762;Validazione non prevista (pubblicato);An algorithm to compute fingering for string instruments;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"D. RADICIONI; L. ANSELMA; V. LOMBARDO";3;;Nazionale;;;;eng;;;;;;;;;;17109;;;;;;;;;no;
16419;16419;2318/28763;Validazione non prevista (pubblicato);Power and dependence in multiagent systems;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"G. BOELLA; R. DAMIANO";2;;Internazionale;Nessuno;;;eng;;;;;;;;;;15319;;;;;;;4 - Workshop;;no;
16419;16419;2318/28763;Validazione non prevista (pubblicato);Power and dependence in multiagent systems;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"G. BOELLA; R. DAMIANO";2;;Internazionale;Nessuno;;;eng;;;;;;;;;;17629;;;;;;;4 - Workshop;;no;
16420;16420;2318/28764;Validazione non prevista (pubblicato);Persuasion strategies in dialogue;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"G. BOELLA; L. VAN DER TORRE; J. HULSTIJN";3;;Internazionale;;;;eng;;;;;;;;;;17629;;;;;;;;;no;
16421;16421;2318/28765;Validazione non prevista (pubblicato);Decision-theoretic deliberation under bounded resources;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"G. BOELLA; L. VAN DER TORRE; J. HULSTIJN";3;;Internazionale;;;;eng;;;;;;;;;;17629;;;;;;;;;no;
16422;16422;2318/28709;Validazione non prevista (pubblicato);Normative multiagent systems;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"G. BOELLA; L. VAN DER TORRE";2;;Internazionale;;;;eng;;;;;;;;;;17629;;;;;;;;;no;
16423;16423;2318/28710;Validazione non prevista (pubblicato);Attributing mental attitudes to social entities: Constitutive rules are beliefs, regulative rules are goals;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"G. BOELLA; L. VAN DER TORRE";2;;Internazionale;Nessuno;;;eng;;;;;;In this paper, we propose a model of constitutive and regulative rules in a logical multiagent framework. We analyze the relationship between these two types of rules and explain similarities between them, using the metaphor of considering social entities - like normative systems, groups and organizations - as agents and of attributing them mental attitudes as well as an autonomous behavior. We argue that while constitutive rules expressing "counts-as" relations are modelled as the beliefs of a social entities, regulative rules are modelled as their goals.;;;;17629;;;;;;;1 - Conferenza;;no;
16424;16424;2318/28711;Validazione non prevista (pubblicato);An agent oriented ontology of social reality;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"G. BOELLA; L. VAN DER TORRE";2;;Internazionale;;;;eng;;;;;;;;;;17629;;;;;;;;;no;
16425;16425;2318/99080;Validazione non prevista (pubblicato);A high level language for structural relations in Stochastic Well-formed Nets;2005;;;info:eu-repo/semantics/conferenceObject;04B-Conference paper in rivista;;;;"L. CAPRA; M. DE PIERRO; G. FRANCESCHINIS";3;;Internazionale;Sì, ma tipo non specificato;;;eng;0302-9743;;10.1007/11494744_11;;;"Well-formed Nets (WN) structural analysis techniques allow
to study interesting system properties without requiring the state space
generation. In order to avoid the net unfolding, which would reduce significantly 
the effectiveness of the analysis, a symbolic calculus allowing
to directly work on the WN colour structure is needed. The algorithms
for high level Petri nets structural analysis most often require a common
subset of operators on symbols annotating the net elements, in particular
the arc functions. These operators are the function difference, the function 
transpose and the function composition. This paper focuses on the
first two, it introduces a language to denote structural relations in WN
and proves that it is actually closed under the difference and transpose.";;;;20076;;24;WOS:000230367400011;2-s2.0-26444465125;17;;;;si;0.513
16427;16427;2318/28905;Validazione non prevista (pubblicato);Model Checking Durational Probabilistic Systems;2005;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"F. LAROUSSINIE; J. SPROSTON";2;;Internazionale;;;;eng;0302-9743;;10.1007/978-3-540-31982-5_9;;;We consider model-checking algorithms for durational probabilistic systems, which are systems exhibiting nondeterministic, probabilistic and discrete-timed behaviour. We present two semantics for durational probabilistic systems, and show how formulae of the probabilistic and timed temporal logic PTCTL can be verified on such systems. We also address complexity issues, in particular identifying the cases in which model checking durational probabilistic systems is harder than verifying non-probabilistic durational systems.;;;;167;PE6_4 - Theoretical computer science, formal methods, automata (erc_2022);19;WOS:000229097900009;2-s2.0-24644488964;17;;;;si;0.513
16428;16428;2318/28906;Validazione non prevista (pubblicato);Safe object composition in the presence of subtyping;2005;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;no;"L. BETTINI; V. BONO; S. LIKAVEC";3;;Internazionale;Esperti anonimi;;;eng;1611-3349;;10.1007/11560586_11;;;;;;;18618;;1;WOS:000234508600011;2-s2.0-30344458998;1;;1 - Conferenza;;si;
16430;16430;2318/28908;Validazione non prevista (pubblicato);Adaptive tourist suggestions for a commercial web site;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"C. GENA; M. ORFINO";2;;Internazionale;;;;eng;;;;;;;;;;13998;"PE6_9 - Human computer interaction and interface, visualisation (erc_2022) ; PE7_10 - Robotics (erc_2022)";;;;;;;;no;
16431;16431;2318/69111;Validazione non prevista (pubblicato);Even more principal typings for Java-like languages;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"D. ANCONA; F. DAMIANI; S. DROSSOPOULOU; E. ZUCCA";4;;Internazionale;;;;eng;;"http://www.cs.ru.nl/ftfjp/; http://www.cs.ru.nl/ftfjp/2004.html; http://www.di.unito.it/~damiani/papers/ftfjp04.html";;;;We propose a new type system for Java-like languages which allows compilation of a class in isolation, that is, in a context where no information is available on other classes. Indeed, by this type system it is possible to infer the assumptions guaranteeing type correctness of a class c, and generate (abstract) bytecode for c, by just inspecting the source code of c. Then, a collection of classes can be safely linked together without further inspection of the classes' code, provided that each class has been typechecked in isolation (intra-checking), and that the mutual class assumptions are satisfied (inter-checking). In other words, the type s ystems supports compositional analysis, as formally guaranteed by the fact that it has principal typings. We also develop an algorithm for inter-checking, and prove it correct.;"Type system; Compositional analysis; Bytecode";;;17640;;;;;;;;;no;
16432;16432;2318/28963;Validazione non prevista (pubblicato);A core calculus of mixin-based incomplete objects;2004;;;info:eu-repo/semantics/other;07Z-Altro;;;;"L. BETTINI; V. BONO; S. LIKAVEC";3;;Internazionale;;;;;;http://www.cis.upenn.edu/~bcpierce/FOOL/FOOL11.html;;;;;;;;18618;;;;;;;;;no;
16433;16433;2318/28964;Validazione non prevista (pubblicato);L'identificazione basata sul volto: metodi fisionomici e metrici;2004;;;info:eu-repo/semantics/bookPart;02A-Contributo in volume;;;;"N. BALOSSINO; S. SIRACUSA";2;;Nazionale;;;;ita;;;;;;;;;;16084;;;;;;;;;;
16434;16434;2318/29049;Validazione non prevista (pubblicato);A Comparison of Structural Formalisms for Modeling Large Markov Models;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. CHUNG; G. CIARDO; S. DONATELLI; N. HE; B. PLATEAU; J. STEWART; E. SULAIMAN; J. YU";8;;Internazionale;;;;eng;;;10.1109/IPDPS.2004.1303217;;9780769521329;;;;;19029;;2;;2-s2.0-12444253913;;;;;no;
16436;16436;2318/129287;Validazione non prevista (pubblicato);Reasoning about agents' interaction protocols inside DCaseLP;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. BALDONI; C. BAROGLIO; I. GUNGUI; A. MARTELLI; M. MARTELLI; V. MASCARDI; V. PATTI; C. SCHIFANELLA";8;;Internazionale;;;;eng;;http://centria.di.fct.unl.pt/~jleite/dalt04/index.htm;;;;"Engineering systems of heterogeneous agents is a difficult task; one of the ways for achieving the successful industrial deployment of agent technology is the development of engineering tools that support the developer in all the steps of design and implementation. In this work we focus on the problem of supporting the design of agent interaction protocols by carrying out a methodological integration of the MAS prototyping environment DCaseLP with the agent programming language
DyLOG for reasoning about action and change.";;;;12588;;;WOS:000230354400007;;2;;;;no;
16436;16436;2318/129287;Validazione non prevista (pubblicato);Reasoning about agents' interaction protocols inside DCaseLP;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. BALDONI; C. BAROGLIO; I. GUNGUI; A. MARTELLI; M. MARTELLI; V. MASCARDI; V. PATTI; C. SCHIFANELLA";8;;Internazionale;;;;eng;;http://centria.di.fct.unl.pt/~jleite/dalt04/index.htm;;;;"Engineering systems of heterogeneous agents is a difficult task; one of the ways for achieving the successful industrial deployment of agent technology is the development of engineering tools that support the developer in all the steps of design and implementation. In this work we focus on the problem of supporting the design of agent interaction protocols by carrying out a methodological integration of the MAS prototyping environment DCaseLP with the agent programming language
DyLOG for reasoning about action and change.";;;;15285;;;WOS:000230354400007;;2;;;;no;
16436;16436;2318/129287;Validazione non prevista (pubblicato);Reasoning about agents' interaction protocols inside DCaseLP;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. BALDONI; C. BAROGLIO; I. GUNGUI; A. MARTELLI; M. MARTELLI; V. MASCARDI; V. PATTI; C. SCHIFANELLA";8;;Internazionale;;;;eng;;http://centria.di.fct.unl.pt/~jleite/dalt04/index.htm;;;;"Engineering systems of heterogeneous agents is a difficult task; one of the ways for achieving the successful industrial deployment of agent technology is the development of engineering tools that support the developer in all the steps of design and implementation. In this work we focus on the problem of supporting the design of agent interaction protocols by carrying out a methodological integration of the MAS prototyping environment DCaseLP with the agent programming language
DyLOG for reasoning about action and change.";;;;16878;;;WOS:000230354400007;;2;;;;no;
16436;16436;2318/129287;Validazione non prevista (pubblicato);Reasoning about agents' interaction protocols inside DCaseLP;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. BALDONI; C. BAROGLIO; I. GUNGUI; A. MARTELLI; M. MARTELLI; V. MASCARDI; V. PATTI; C. SCHIFANELLA";8;;Internazionale;;;;eng;;http://centria.di.fct.unl.pt/~jleite/dalt04/index.htm;;;;"Engineering systems of heterogeneous agents is a difficult task; one of the ways for achieving the successful industrial deployment of agent technology is the development of engineering tools that support the developer in all the steps of design and implementation. In this work we focus on the problem of supporting the design of agent interaction protocols by carrying out a methodological integration of the MAS prototyping environment DCaseLP with the agent programming language
DyLOG for reasoning about action and change.";;;;27616;;;WOS:000230354400007;;2;;;;no;
16437;16437;2318/29057;Validazione non prevista (pubblicato);Reasoning about logic-based agent interaction protocols;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. BALDONI; A. MARTELLI; C. BAROGLIO; V. PATTI";4;;Nazionale;;;;eng;;;;;;;;;;15285;;;;;;;;;no;
16437;16437;2318/29057;Validazione non prevista (pubblicato);Reasoning about logic-based agent interaction protocols;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. BALDONI; A. MARTELLI; C. BAROGLIO; V. PATTI";4;;Nazionale;;;;eng;;;;;;;;;;16878;;;;;;;;;no;
16437;16437;2318/29057;Validazione non prevista (pubblicato);Reasoning about logic-based agent interaction protocols;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. BALDONI; A. MARTELLI; C. BAROGLIO; V. PATTI";4;;Nazionale;;;;eng;;;;;;;;;;27616;;;;;;;;;no;
16438;16438;2318/29058;Validazione non prevista (pubblicato);An activity based data model for desktop querying;2005;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"S. ADALI; M. SAPINO";2;;Internazionale;;;;eng;;;;;16130073;;;;;14410;;0;;2-s2.0-84883481201;;;;;no;
16439;16439;2318/28998;Validazione non prevista (pubblicato);The REWERSE View on Policies;2005;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"G. ANTONIOU; M. BALDONI; C. BAROGLIO; P. BONATTI; C. DUMA; N. FUCHS; A. MARTELLI; W. NEJDL; D. OLMEDILLA; V. PATTI;  J. PEER; N. SHAHMEHRI.";12;;Internazionale;;;;eng;;;;;;Workshop certificato dalla conferenza ICSW, punto di incontro di eccellenza per la comunità di policy nell'ambito del semantic web. Atti referati da comitato internazionale. pp. 13;;;;15285;;;;;;;;;no;
16439;16439;2318/28998;Validazione non prevista (pubblicato);The REWERSE View on Policies;2005;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"G. ANTONIOU; M. BALDONI; C. BAROGLIO; P. BONATTI; C. DUMA; N. FUCHS; A. MARTELLI; W. NEJDL; D. OLMEDILLA; V. PATTI;  J. PEER; N. SHAHMEHRI.";12;;Internazionale;;;;eng;;;;;;Workshop certificato dalla conferenza ICSW, punto di incontro di eccellenza per la comunità di policy nell'ambito del semantic web. Atti referati da comitato internazionale. pp. 13;;;;16878;;;;;;;;;no;
16439;16439;2318/28998;Validazione non prevista (pubblicato);The REWERSE View on Policies;2005;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"G. ANTONIOU; M. BALDONI; C. BAROGLIO; P. BONATTI; C. DUMA; N. FUCHS; A. MARTELLI; W. NEJDL; D. OLMEDILLA; V. PATTI;  J. PEER; N. SHAHMEHRI.";12;;Internazionale;;;;eng;;;;;;Workshop certificato dalla conferenza ICSW, punto di incontro di eccellenza per la comunità di policy nell'ambito del semantic web. Atti referati da comitato internazionale. pp. 13;;;;27616;;;;;;;;;no;
16440;16440;2318/132958;Validazione non prevista (pubblicato);High Level Interpretation of Action Failures in Multi-Robot Systems;2005;;;info:eu-repo/semantics/conferencePoster;04F-Poster;;;;"P. TORASSO; G. TORTA; R. MICALIZIO";3;;Internazionale;;;;eng;;http://www.bcs-sgai.org/ai2005/;;;;"The paper addresses the problem of on-line monitoring and diagnosis of
multi-robot systems. These tasks are performed by a Diagnostic Module
whose high-level architecture is introduced: the on-line monitoring exploits
a model of the system (robots + environment) based on automata.
An assessment of the system status is performed during the monitoring
phase, while a high-level interpretation of the observed behavior of the
system (in particular failures in completing the actions assigned to the
robots) is done by a Diagnostic Interpretation module. The interpretation
process is performed by exploiting a Bayesian network which allows
us to relate system observations with abstract concepts in terms of faults
and troublesome interactions.
Finally, the paper reports some preliminary experimental results concerning
the performance and the competence of the Diagnostic Module
in the RoboCare domain.";"Multiagent Systems; Plan Diagnosis";;;8847;;;;;;;1 - Conferenza;;no;
16440;16440;2318/132958;Validazione non prevista (pubblicato);High Level Interpretation of Action Failures in Multi-Robot Systems;2005;;;info:eu-repo/semantics/conferencePoster;04F-Poster;;;;"P. TORASSO; G. TORTA; R. MICALIZIO";3;;Internazionale;;;;eng;;http://www.bcs-sgai.org/ai2005/;;;;"The paper addresses the problem of on-line monitoring and diagnosis of
multi-robot systems. These tasks are performed by a Diagnostic Module
whose high-level architecture is introduced: the on-line monitoring exploits
a model of the system (robots + environment) based on automata.
An assessment of the system status is performed during the monitoring
phase, while a high-level interpretation of the observed behavior of the
system (in particular failures in completing the actions assigned to the
robots) is done by a Diagnostic Interpretation module. The interpretation
process is performed by exploiting a Bayesian network which allows
us to relate system observations with abstract concepts in terms of faults
and troublesome interactions.
Finally, the paper reports some preliminary experimental results concerning
the performance and the competence of the Diagnostic Module
in the RoboCare domain.";"Multiagent Systems; Plan Diagnosis";;;15938;;;;;;;1 - Conferenza;;no;
16441;16441;2318/28999;Validazione non prevista (pubblicato);Verifying protocol conformance for logic-based communicating agents;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. BALDONI; A. MARTELLI; C. BAROGLIO; V. PATTI; C. SCHIFANELLA";5;;Internazionale;;;;eng;;;;;;;;;;12588;;;;;;;;;no;
16441;16441;2318/28999;Validazione non prevista (pubblicato);Verifying protocol conformance for logic-based communicating agents;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. BALDONI; A. MARTELLI; C. BAROGLIO; V. PATTI; C. SCHIFANELLA";5;;Internazionale;;;;eng;;;;;;;;;;15285;;;;;;;;;no;
16441;16441;2318/28999;Validazione non prevista (pubblicato);Verifying protocol conformance for logic-based communicating agents;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. BALDONI; A. MARTELLI; C. BAROGLIO; V. PATTI; C. SCHIFANELLA";5;;Internazionale;;;;eng;;;;;;;;;;16878;;;;;;;;;no;
16441;16441;2318/28999;Validazione non prevista (pubblicato);Verifying protocol conformance for logic-based communicating agents;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. BALDONI; A. MARTELLI; C. BAROGLIO; V. PATTI; C. SCHIFANELLA";5;;Internazionale;;;;eng;;;;;;;;;;27616;;;;;;;;;no;
16442;16442;2318/29000;Validazione non prevista (pubblicato);Reasoning about learning object metadata for adapting SCORM courseware;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. BALDONI; C. BAROGLIO; V. PATTI; L. TORASSO";4;;Internazionale;;;;eng;;;http://www.di.unito.it/ssistyle/images/sandston.gif;;;;;;;15285;;;;;;;;;no;
16442;16442;2318/29000;Validazione non prevista (pubblicato);Reasoning about learning object metadata for adapting SCORM courseware;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. BALDONI; C. BAROGLIO; V. PATTI; L. TORASSO";4;;Internazionale;;;;eng;;;http://www.di.unito.it/ssistyle/images/sandston.gif;;;;;;;16878;;;;;;;;;no;
16442;16442;2318/29000;Validazione non prevista (pubblicato);Reasoning about learning object metadata for adapting SCORM courseware;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. BALDONI; C. BAROGLIO; V. PATTI; L. TORASSO";4;;Internazionale;;;;eng;;;http://www.di.unito.it/ssistyle/images/sandston.gif;;;;;;;27616;;;;;;;;;no;
16443;16443;2318/29001;Validazione non prevista (pubblicato);SCORM courseware adaptation on the Semantic Web;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"M. BALDONI; C. BAROGLIO; V. PATTI; L. TORASSO";4;;Nazionale;;;;eng;;;;;;;;;;15285;;;;;;;;;no;
